Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score
12424,163,2,3521.92,1,2,4
12425,78,1,1554.4,2,1,3
12426,195,1,1165.46,1,1,2
12427,22,3,1651.6,3,3,3
12428,26,9,15912.92,3,4,4
12429,9,4,7500.8,4,3,4
12430,43,1,512.8,3,1,1
12431,36,15,12839.9,3,4,4
12432,43,5,10118.64,3,3,4
12433,1,7,26751.74,4,4,4
12434,85,2,1612.28,2,2,3
12435,80,2,15659.78,2,2,4
12436,100,1,1018.02,2,1,2
12437,2,18,9902.82,4,4,4
12438,14,2,5813.7,4,2,4
12441,367,1,347.1,1,1,1
12442,3,1,344.12,4,1,1
12444,21,5,10010.92,3,3,4
12445,22,1,266.8,3,1,1
12446,58,1,2004.6200000000001,2,1,3
12447,243,1,952.98,1,1,2
12448,44,1,898.9,3,1,2
12449,22,4,8134.58,3,3,4
12450,156,2,395.76,1,2,1
12451,11,5,18071.04,4,3,4
12452,17,2,861.14,4,2,2
12453,134,1,1414.18,2,1,3
12454,56,1,7056.68,2,1,4
12455,73,6,4933.72,2,4,4
12456,44,3,6362.08,3,3,4
12457,66,7,4726.46,2,4,4
12458,71,2,1894.8,2,2,3
12461,94,2,1653.76,2,2,3
12462,19,2,2379.18,3,2,3
12463,53,4,2689.56,2,3,3
12464,10,8,2424.1,4,4,3
12465,17,2,1484.3799999999999,4,2,3
12468,188,2,1459.0800000000002,1,2,3
12471,2,30,39577.3,4,4,4
12472,32,7,13144.22,3,4,4
12473,29,5,7856.099999999999,3,3,4
12474,17,18,14648.18,4,4,4
12475,54,1,1446.76,2,1,3
12476,16,11,13632.84,4,4,4
12477,23,6,26439.48,3,4,4
12478,4,1,1361.98,4,1,3
12479,11,1,1054.4,4,1,2
12480,28,4,6563.26,3,3,4
12481,23,10,11159.64,3,4,4
12483,17,8,4969.96,4,4,4
12484,33,6,9054.64,3,4,4
12488,10,3,2597.32,4,3,3
12489,336,1,669.86,1,1,2
12490,5,10,10835.86,4,4,4
12491,39,1,920.8000000000001,3,1,2
12492,63,2,526.4200000000001,2,2,1
12493,166,2,867.48,1,2,2
12494,16,7,2492.2000000000003,4,4,3
12497,82,1,2086.2,2,1,3
12498,21,3,807.4000000000001,3,3,2
12500,23,11,8515.64,3,4,4
12501,337,1,4338.78,1,1,4
12502,96,5,7447.74,2,3,4
12504,18,2,964.0999999999999,4,2,2
12506,233,1,147.0,1,1,1
12507,134,3,2609.62,2,3,3
12508,26,2,795.76,3,2,2
12509,284,1,353.0,1,1,1
12510,143,2,1965.1399999999999,1,2,3
12512,66,2,264.36,2,2,1
12513,113,1,1224.58,2,1,2
12514,267,1,2035.36,1,1,3
12515,353,1,767.4,1,1,2
12516,78,2,2624.12,2,2,3
12517,28,5,4963.2,3,3,4
12518,1,5,4113.78,4,3,4
12519,64,1,661.68,2,1,2
12520,79,5,5268.52,2,3,4
12521,143,1,1199.36,1,1,2
12522,39,2,385.44,3,2,1
12523,19,11,3579.54,3,4,4
12524,9,8,8971.44,4,4,4
12526,1,3,2633.32,4,3,3
12527,82,3,697.4200000000001,2,3,2
12528,9,6,3866.96,4,4,4
12530,60,4,3324.56,2,3,4
12531,15,1,250.44,4,1,1
12532,30,1,699.6600000000001,3,1,2
12534,131,1,2178.36,2,1,3
12535,92,2,1432.7,2,2,3
12536,43,3,25203.660000000003,3,3,4
12538,29,1,727.9,3,1,2
12539,22,4,11136.7,3,3,4
12540,20,17,26800.48,3,4,4
12541,30,3,1962.36,3,3,3
12544,36,1,745.4,3,1,2
12545,75,2,2000.78,2,2,3
12546,47,2,2323.0,3,2,3
12547,198,2,415.59999999999997,1,2,1
12548,166,1,190.39999999999998,1,1,1
12550,79,1,1929.66,2,1,3
12551,358,1,336.0,1,1,1
12552,39,2,875.64,3,2,2
12553,8,10,7384.56,4,4,4
12556,50,2,1199.12,3,2,2
12557,16,5,23981.920000000002,4,3,4
12558,8,1,539.92,4,1,1
12559,311,2,1123.42,1,2,2
12560,5,3,4268.02,4,3,4
12561,303,1,477.7,1,1,1
12562,8,7,7563.4800000000005,4,4,4
12564,261,1,913.8,1,1,2
12565,289,1,291.84,1,1,1
12566,86,1,703.3,2,1,2
12567,23,10,18802.56,3,4,4
12569,2,32,8249.38,4,4,4
12571,40,2,1039.22,3,2,2
12572,9,2,2040.84,4,2,3
12573,227,1,321.08000000000004,1,1,1
12574,316,1,436.9,1,1,1
12576,36,5,2631.66,3,3,3
12577,35,3,1253.2,3,3,2
12578,21,2,5589.02,3,2,4
12579,78,1,880.84,2,1,2
12580,247,1,831.4,1,1,2
12581,40,1,395.42,3,1,1
12582,239,2,1022.72,1,2,2
12583,3,15,14562.76,4,4,4
12584,4,9,4676.3,4,4,4
12585,234,2,4080.2,1,2,4
12586,17,1,393.88000000000005,4,1,1
12587,8,1,288.0,4,1,1
12588,39,1,429.79999999999995,3,1,1
12589,29,2,1293.36,3,2,2
12590,211,2,19728.52,1,2,4
12591,317,1,905.6999999999999,1,1,2
12592,92,2,875.2,2,2,2
12593,109,3,836.1999999999999,2,3,2
12594,38,10,6676.4400000000005,3,4,4
12596,51,2,1236.54,3,2,2
12597,19,4,7622.44,3,3,4
12598,10,8,6046.16,4,4,4
12599,29,7,2065.16,3,4,3
12600,29,10,5198.08,3,4,4
12601,190,5,1154.1200000000001,1,3,2
12602,59,1,306.24,2,1,1
12603,22,1,1478.3999999999999,3,1,3
12604,79,2,508.36,2,2,1
12607,60,1,3159.02,2,1,3
12609,78,3,2253.7,2,3,3
12610,23,5,4199.08,3,3,4
12611,52,1,2386.64,2,1,3
12612,74,1,1408.0800000000002,2,1,3
12613,57,5,6688.76,2,3,4
12614,278,1,631.2,1,1,2
12615,2,4,4582.38,4,3,4
12616,95,2,1426.6,2,2,3
12617,29,1,705.96,3,1,2
12618,22,1,354.62,3,1,1
12619,16,9,7282.48,4,4,4
12620,15,3,2678.82,4,3,3
12621,2,20,27379.34,4,4,4
12622,232,1,360.2,1,1,1
12623,276,1,610.2,1,1,1
12624,106,2,1282.26,2,2,2
12625,212,2,5367.64,1,2,4
12626,23,9,13240.96,3,4,4
12627,11,7,8957.06,4,4,4
12628,4,3,1572.92,4,3,3
12630,10,2,2541.76,4,2,3
12631,57,1,1281.0,2,1,2
12633,59,4,4327.96,2,3,4
12635,90,2,3378.36,2,2,4
12637,67,8,12005.8,2,4,4
12638,33,1,1343.38,3,1,3
12639,239,1,972.2,1,1,2
12640,24,3,2349.16,3,3,3
12641,115,1,371.8,2,1,1
12642,25,3,2026.52,3,3,3
12643,128,6,6689.28,2,4,4
12644,130,1,955.82,2,1,2
12645,34,4,3550.36,3,3,4
12646,5,2,2693.94,4,2,3
12647,22,12,7445.64,3,4,4
12648,155,1,636.1,1,1,2
12649,107,3,1247.02,2,3,2
12650,3,1,628.88,4,1,2
12651,335,1,228.0,1,1,1
12652,331,1,1839.96,1,1,3
12653,149,2,4419.7,1,2,4
12654,11,5,1203.96,4,3,2
12656,17,5,8102.34,4,3,4
12657,11,4,3286.36,4,3,3
12658,19,1,1372.1,3,1,3
12659,30,1,183.36,3,1,1
12660,11,1,490.2,4,1,1
12662,1,11,7699.56,4,4,4
12664,8,9,9763.76,4,4,4
12665,325,1,126.0,1,1,1
12667,58,1,1240.26,2,1,2
12668,12,4,7614.3,4,3,4
12669,151,3,5488.0599999999995,1,3,4
12670,10,5,5992.1,4,3,4
12672,330,1,451.79999999999995,1,1,1
12673,5,2,1221.04,4,2,2
12674,39,4,3941.2,3,3,4
12676,25,6,2662.78,3,4,3
12678,42,12,35256.92,3,4,4
12679,59,4,2226.04,2,3,3
12680,1,4,1761.62,4,3,3
12681,15,22,27575.08,4,4,4
12682,4,31,24559.64,4,4,4
12683,4,15,16953.14,4,4,4
12684,8,7,4567.26,4,4,4
12685,28,6,5726.16,3,4,4
12686,372,1,178.28,1,1,1
12688,114,1,9747.619999999999,2,1,4
12689,26,2,2495.22,3,2,3
12690,206,1,778.02,1,1,2
12691,28,6,2071.6,3,4,3
12693,127,4,1711.82,2,3,3
12694,70,2,1739.34,2,2,3
12695,7,4,1164.2,4,3,2
12697,29,3,1915.18,3,3,3
12700,8,4,9879.98,4,3,4
12701,80,2,1595.42,2,2,3
12702,20,1,438.0,3,1,1
12703,71,1,567.1,2,1,1
12704,7,8,4681.68,4,4,4
12705,15,9,13736.58,4,4,4
12707,292,1,1206.84,1,1,2
12708,30,10,5425.82,3,4,4
12709,15,15,19413.04,4,4,4
12710,97,3,2298.04,2,3,3
12712,29,13,8792.26,3,4,4
12713,1,1,1697.1,4,1,3
12714,9,5,9417.72,4,3,4
12715,106,1,686.72,2,1,2
12716,4,2,2106.98,4,2,3
12717,151,2,2061.96,1,2,3
12718,71,1,476.5,2,1,1
12719,5,2,1289.9,4,2,2
12720,3,25,11563.46,4,4,4
12721,32,6,5312.26,3,4,4
12722,85,4,1995.26,2,3,3
12723,4,5,1450.14,4,3,3
12724,5,4,2062.82,4,3,3
12725,371,1,855.6,1,1,2
12726,28,7,5218.2,3,4,4
12727,11,7,7961.4,4,4,4
12728,71,4,1672.66,2,3,3
12729,114,1,906.02,2,1,2
12731,24,12,37791.82,3,4,4
12732,180,1,472.52000000000004,1,1,1
12733,234,1,767.9,1,1,2
12734,353,1,220.79999999999998,1,1,1
12735,315,2,1559.1399999999999,1,2,3
12736,333,1,468.0,1,1,1
12738,372,1,310.7,1,1,1
12739,78,2,2026.08,2,2,3
12740,64,1,855.2,2,1,2
12743,134,2,1080.26,2,2,2
12744,52,7,42558.58,2,4,4
12747,2,11,8392.02,4,4,4
12748,1,209,66106.38,4,4,4
12749,4,5,8181.76,4,3,4
12750,129,1,551.76,2,1,1
12752,81,1,8733.56,2,1,4
12753,23,6,42858.78,3,4,4
12754,236,3,6021.48,1,3,4
12755,281,2,7623.9,1,2,4
12756,87,1,224.15999999999997,2,1,1
12757,16,13,15669.300000000001,4,4,4
12758,117,2,5583.18,2,2,4
12759,52,3,3062.88,2,3,3
12762,8,2,3797.04,4,2,4
12763,138,2,988.16,2,2,2
12764,317,1,3387.76,1,1,4
12766,4,7,13979.26,4,4,4
12769,239,1,2287.2,1,1,3
12770,211,1,2702.9,1,1,3
12772,60,1,1784.94,2,1,3
12775,17,5,2772.08,4,3,3
12778,20,6,1644.46,3,4,3
12779,38,8,7962.72,3,4,4
12781,64,2,1653.48,2,2,3
12782,5,5,4661.84,4,3,4
12783,2,6,4451.82,4,4,4
12784,9,2,1065.6399999999999,4,2,2
12785,364,1,623.9,1,1,2
12787,10,3,927.32,4,3,2
12789,65,1,183.7,2,1,1
12790,192,1,649.84,1,1,2
12791,374,1,385.20000000000005,1,1,1
12792,257,1,801.0799999999999,1,1,2
12793,335,2,1090.96,1,2,2
12794,53,2,1720.82,2,2,3
12795,19,1,860.96,3,1,2
12797,366,1,508.06,1,1,1
12798,10,3,13954.08,4,3,4
12802,187,1,855.16,1,1,2
12808,37,3,967.3000000000001,3,3,2
12809,178,1,978.62,1,1,2
12811,261,3,1029.7,1,3,2
12812,45,1,459.28000000000003,3,1,1
12814,102,1,251.84,2,1,1
12815,148,2,2126.92,1,2,3
12816,96,2,1144.4,2,2,2
12817,281,1,332.08,1,1,1
12818,262,1,3084.16,1,1,3
12820,3,4,1884.68,4,3,3
12821,214,1,185.44,1,1,1
12822,71,2,1897.76,2,2,3
12823,75,5,3519.0,2,3,4
12824,60,1,794.24,2,1,2
12826,3,7,2949.44,4,4,3
12827,6,3,860.3000000000001,4,3,2
12828,3,6,2037.42,4,4,3
12829,337,2,586.0,1,2,1
12830,38,6,13629.28,3,4,4
12831,262,1,430.1,1,1,1
12832,32,2,766.06,3,2,2
12833,145,1,834.76,1,1,2
12834,283,1,624.76,1,1,2
12836,59,4,5220.72,2,3,4
12837,173,1,268.2,1,1,1
12838,34,2,1343.9,3,2,3
12839,3,14,11182.84,4,4,4
12840,144,4,5453.54,1,3,4
12841,5,25,7983.16,4,4,4
12842,70,2,2237.98,2,2,3
12843,66,8,3404.52,2,4,4
12844,29,2,651.9200000000001,3,2,2
12845,267,4,708.18,1,3,2
12847,22,1,1687.28,3,1,3
12849,31,2,2020.58,3,2,3
12851,97,1,263.62,2,1,1
12852,295,1,623.1,1,1,2
12853,135,6,3914.2000000000003,2,4,4
12854,79,3,2632.5,2,3,3
12855,373,1,76.2,1,1,1
12856,8,6,4341.56,4,4,4
12857,211,2,2212.8,1,2,3
12863,52,1,1042.4,2,1,2
12864,138,1,294.24,2,1,1
12865,26,2,3136.46,3,2,3
12866,283,1,1118.24,1,1,2
12867,26,7,8018.68,3,4,4
12868,186,6,3214.1200000000003,1,4,3
12871,84,2,761.28,2,2,2
12872,327,2,1199.94,1,2,2
12873,282,1,748.0,1,1,2
12875,143,2,686.4600000000002,1,2,2
12876,58,2,4436.04,2,2,4
12877,4,12,3071.54,4,4,3
12878,236,2,1709.98,1,2,3
12879,45,3,1146.44,3,3,2
12881,276,1,596.0,1,1,1
12882,9,2,2926.08,4,2,3
12883,25,4,1406.94,3,3,3
12884,88,1,618.1,2,1,2
12885,63,3,2350.44,2,3,3
12886,68,2,2756.8,2,2,3
12888,214,2,708.24,1,2,2
12890,24,1,753.4399999999999,3,1,2
12891,186,3,662.0,1,3,2
12893,31,1,353.1,3,1,1
12895,42,2,745.6,3,2,2
12897,205,2,433.0,1,2,1
12901,9,28,35309.08,4,4,4
12902,265,1,277.36,1,1,1
12904,18,2,992.12,4,2,2
12906,12,5,5839.62,4,3,4
12908,176,2,1500.0,1,2,3
12909,40,5,4357.34,3,3,4
12910,23,8,6150.08,3,4,4
12912,3,5,3324.6,4,3,4
12913,5,5,4967.26,4,4,4
12915,149,2,727.3,1,2,2
12916,139,4,5889.9,2,3,4
12917,128,1,1188.0,2,1,2
12919,8,6,2670.38,4,4,3
12920,17,1,325.56,4,1,1
12921,9,37,33174.18,4,4,4
12922,161,1,810.76,1,1,2
12923,64,1,345.64,2,1,1
12924,88,4,1867.4,2,3,3
12925,5,2,1388.1,4,2,3
12928,35,5,4125.400000000001,3,4,4
12929,312,1,235.7,1,1,1
12930,78,2,831.6,2,2,2
12931,22,15,84111.92,3,4,4
12933,24,3,1215.06,3,3,2
12935,2,7,4321.4,4,4,4
12936,17,4,2127.8,4,3,3
12937,15,4,3008.54,4,3,3
12938,26,1,228.28,3,1,1
12939,64,8,23163.6,2,4,4
12940,55,2,1799.38,2,2,3
12942,131,3,1351.2,2,3,3
12944,36,2,1209.02,3,2,2
12945,288,1,925.9,1,1,2
12947,144,6,3207.98,1,4,3
12948,16,7,4129.9,4,4,4
12949,31,8,8334.44,3,4,4
12950,2,3,3686.0,4,3,4
12951,9,6,2128.14,4,4,3
12952,6,4,2775.58,4,3,3
12953,10,1,659.7,4,1,2
12955,1,11,9514.32,4,4,4
12956,306,1,216.14,1,1,1
12957,10,8,8035.08,4,4,4
12962,7,2,532.78,4,2,1
12963,8,8,3713.26,4,4,4
12965,89,1,1539.6200000000001,2,1,3
12966,10,1,320.36,4,1,1
12967,358,2,3321.8,1,2,4
12968,112,1,271.9,2,1,1
12970,7,4,810.94,4,3,2
12971,4,86,22379.82,4,4,4
12974,198,1,289.6,1,1,1
12976,212,1,1477.2,1,1,3
12977,156,1,78.47999999999999,1,1,1
12980,158,9,14749.800000000001,1,4,4
12981,30,2,744.4399999999999,3,2,2
12982,243,1,781.08,1,1,2
12984,19,1,195.0,3,1,1
12985,1,2,2478.76,4,2,3
12987,74,2,1117.4,2,2,2
12988,292,1,1011.64,1,1,2
12989,3,15,13848.220000000001,4,4,4
12990,31,3,819.0,3,3,2
12991,23,2,1007.52,3,2,2
12993,23,4,829.52,3,3,2
12994,4,3,1948.8400000000001,4,3,3
12995,85,1,422.64,2,1,1
12997,22,4,2453.78,3,3,3
12999,196,3,911.76,1,3,2
13000,107,3,1069.7,2,3,2
13001,4,13,19571.940000000002,4,4,4
13002,318,1,241.89999999999998,1,1,1
13003,106,3,298.1,2,3,1
13004,12,18,11311.82,4,4,4
13005,174,2,1027.4,1,2,2
13006,56,1,163.14,2,1,1
13008,323,1,458.93999999999994,1,1,1
13011,372,1,101.10000000000001,1,1,1
13012,9,8,3293.6800000000003,4,4,3
13013,1,13,9621.880000000001,4,4,4
13014,11,10,6932.5599999999995,4,4,4
13015,53,5,6679.28,2,4,4
13016,73,3,1579.78,2,3,3
13017,7,1,408.0,4,1,1
13018,16,28,14555.4,4,4,4
13021,4,9,5232.76,4,4,4
13023,64,2,1379.8,2,2,3
13026,1,5,1950.72,4,4,3
13027,114,6,13824.0,2,4,4
13028,23,2,1322.6399999999999,3,2,2
13029,31,3,2495.0,3,3,3
13030,11,2,1504.8799999999999,4,2,3
13032,52,2,2020.36,2,2,3
13033,357,1,381.1,1,1,1
13034,55,2,1285.54,2,2,2
13035,74,2,1843.76,2,2,3
13037,138,3,1762.14,2,3,3
13038,80,3,1816.92,2,3,3
13040,9,2,1353.98,4,2,3
13043,273,1,1032.84,1,1,2
13044,291,1,1120.94,1,1,2
13045,99,1,610.5600000000001,2,1,1
13046,31,2,1258.62,3,2,2
13047,32,10,6475.08,3,4,4
13048,14,4,3638.82,4,3,4
13049,64,2,1313.3600000000001,2,2,2
13050,15,17,11673.72,4,4,4
13052,212,1,696.3000000000001,1,1,2
13055,78,3,2428.82,2,3,3
13058,25,3,542.8000000000001,3,3,1
13059,250,1,366.8,1,1,1
13060,254,1,615.06,1,1,2
13061,72,1,497.22,2,1,1
13062,191,1,693.96,1,1,2
13064,13,4,2211.18,4,3,3
13065,373,1,411.72,1,1,1
13066,24,2,941.6,3,2,2
13067,82,1,230.92000000000002,2,1,1
13068,10,2,688.0,4,2,2
13069,1,24,8862.88,4,4,4
13070,192,1,457.6,1,1,1
13072,267,1,354.3,1,1,1
13075,130,1,1839.22,2,1,3
13077,1,4,1456.04,4,3,3
13078,3,26,25255.88,4,4,4
13079,4,5,440.20000000000005,4,4,1
13080,179,1,116.16,1,1,1
13081,12,11,56674.76,4,4,4
13082,126,9,7227.26,2,4,4
13083,4,2,607.5,4,2,1
13085,158,2,832.1600000000001,1,2,2
13089,3,97,117524.16,4,4,4
13090,9,14,17821.64,4,4,4
13091,28,1,691.64,3,1,2
13092,71,5,955.66,2,4,2
13093,276,8,15664.94,1,4,4
13094,21,12,3854.6400000000003,3,4,4
13095,71,1,148.79999999999998,2,1,1
13097,33,10,12006.44,3,4,4
13098,1,28,57764.88,4,4,4
13099,99,1,414.71999999999997,2,1,1
13101,234,1,202.38,1,1,1
13102,1,24,12848.18,4,4,4
13103,40,1,487.88,3,1,1
13104,3,6,2196.96,4,4,3
13106,133,1,153.0,2,1,1
13107,44,4,3063.2400000000002,3,3,3
13108,373,1,700.12,1,1,2
13109,60,2,1573.08,2,2,3
13110,31,7,2977.34,3,4,3
13113,1,24,24491.920000000002,4,4,4
13115,12,4,4589.56,4,3,4
13116,138,1,1002.28,2,1,2
13117,22,8,1969.82,3,4,3
13118,20,5,2395.62,3,4,3
13120,239,1,61.199999999999996,1,1,1
13121,269,1,567.46,1,1,1
13122,94,2,1844.78,2,2,3
13124,90,3,7512.66,2,3,4
13126,5,8,4199.28,4,4,4
13127,78,1,518.34,2,1,1
13130,94,1,128.0,2,1,1
13131,23,3,2146.6,3,3,3
13132,262,1,154.6,1,1,1
13133,274,2,219.6,1,2,1
13134,86,4,3587.16,2,3,4
13135,197,1,6192.0,1,1,4
13136,56,5,5215.22,2,4,4
13137,11,8,7206.58,4,4,4
13138,22,6,1924.78,3,4,3
13139,16,7,10129.88,4,4,4
13140,108,3,844.94,2,3,2
13141,85,5,4777.5,2,4,4
13142,19,1,614.18,3,1,2
13144,333,1,221.9,1,1,1
13145,40,4,1237.04,3,3,2
13146,26,1,457.82,3,1,1
13147,10,4,1425.6000000000001,4,3,3
13148,29,12,7366.52,3,4,4
13149,14,4,3352.12,4,3,4
13151,296,1,2515.7400000000002,1,1,3
13153,6,1,972.44,4,1,2
13155,33,4,1943.52,3,3,3
13157,49,4,3482.44,3,3,4
13158,95,4,2402.12,2,3,3
13159,9,4,2858.7,4,3,3
13160,22,1,183.6,3,1,1
13161,313,1,225.5,1,1,1
13162,122,4,3376.58,2,3,4
13165,46,2,2042.96,3,2,3
13166,283,1,834.4,1,1,2
13167,19,4,1582.66,3,3,3
13168,36,4,2599.18,3,3,3
13169,64,2,1425.76,2,2,3
13170,27,1,217.62,3,1,1
13171,22,3,936.82,3,3,2
13173,4,2,707.3,4,2,2
13174,16,3,5485.64,4,3,4
13176,46,1,962.98,3,1,2
13177,65,1,564.9,2,1,1
13178,26,11,11450.94,3,4,4
13182,45,1,242.36,3,1,1
13183,8,9,7915.56,4,4,4
13184,15,10,3337.9,4,4,4
13185,268,1,142.8,1,1,1
13186,40,3,3151.78,3,3,3
13187,337,1,472.04,1,1,1
13188,11,1,229.20000000000002,4,1,1
13189,19,2,521.36,3,2,1
13192,95,2,1823.88,2,2,3
13193,61,1,224.16,2,1,1
13194,136,1,121.4,2,1,1
13196,11,4,3595.56,4,3,4
13198,10,6,6802.4800000000005,4,4,4
13199,4,38,19634.24,4,4,4
13200,19,4,1740.18,3,3,3
13203,10,4,1738.92,4,3,3
13207,15,2,500.52000000000004,4,2,1
13208,59,6,2435.3,2,4,3
13209,30,8,11783.22,3,4,4
13210,94,1,706.96,2,1,2
13211,10,3,2190.84,4,3,3
13212,20,3,1573.66,3,3,3
13213,57,5,3041.16,2,4,3
13216,268,1,667.48,1,1,2
13217,122,3,1067.96,2,3,2
13218,127,1,125.27999999999999,2,1,1
13220,78,4,1638.5800000000002,2,3,3
13221,240,2,1694.82,1,2,3
13223,200,2,326.40000000000003,1,2,1
13224,60,2,4311.9,2,2,4
13225,3,7,12927.68,4,4,4
13226,273,1,216.42000000000002,1,1,1
13227,202,1,515.4,1,1,1
13228,81,1,716.0,2,1,2
13229,226,1,321.9,1,1,1
13230,4,14,5511.26,4,4,4
13232,13,7,2656.7,4,4,3
13233,74,2,1210.24,2,2,2
13235,212,1,2062.14,1,1,3
13236,25,2,1489.7,3,2,3
13238,17,4,1401.46,4,3,3
13239,262,1,659.12,1,1,2
13240,96,4,1327.3,2,3,2
13242,112,3,540.8000000000001,2,3,1
13243,203,1,1170.24,1,1,2
13244,93,1,243.48000000000002,2,1,1
13245,51,1,861.0,3,1,2
13246,18,6,3923.04,4,4,4
13247,18,4,1002.24,4,3,2
13248,125,2,931.36,2,2,2
13249,92,3,1422.82,2,3,3
13253,157,2,2060.8,1,2,3
13255,9,2,799.02,4,2,2
13258,12,3,1345.66,4,3,3
13259,62,1,566.36,2,1,1
13260,61,1,1115.24,2,1,2
13261,269,2,1888.2,1,2,3
13262,263,1,400.58,1,1,1
13263,1,35,14873.86,4,4,4
13265,53,5,4185.32,2,4,4
13266,11,12,7668.5199999999995,4,4,4
13267,3,19,9042.98,4,4,4
13268,18,11,6349.5,4,4,4
13269,1,15,10686.56,4,4,4
13270,366,1,1180.0,1,1,2
13271,37,1,422.98,3,1,1
13272,31,2,553.12,3,2,1
13273,113,1,277.96,2,1,1
13276,64,2,1181.8600000000001,2,2,2
13277,16,4,516.8,4,3,1
13278,41,1,1085.46,3,1,2
13279,78,1,275.5,2,1,1
13280,122,3,1596.92,2,3,3
13282,18,3,2264.28,4,3,3
13283,60,2,187.32,2,2,1
13284,331,1,402.38,1,1,1
13285,23,4,5418.24,3,3,4
13291,156,1,722.22,1,1,2
13292,39,2,1157.8799999999999,3,2,2
13294,190,2,1747.48,1,2,3
13295,360,1,402.40000000000003,1,1,1
13296,137,1,174.8,2,1,1
13297,8,4,4179.7,4,3,4
13298,1,1,720.0,4,1,2
13299,268,1,285.0,1,1,1
13300,169,1,743.78,1,1,2
13301,104,4,1236.18,2,3,2
13302,155,1,127.5,1,1,1
13304,351,1,600.84,1,1,1
13305,4,10,4001.72,4,4,4
13307,120,1,30.0,2,1,1
13308,23,3,2771.02,3,3,3
13309,7,5,2913.58,4,4,3
13310,28,3,2264.06,3,3,3
13311,4,2,1197.14,4,2,2
13313,22,5,3110.64,3,4,3
13314,2,3,1551.88,4,3,3
13316,37,4,11465.86,3,3,4
13317,66,6,4547.36,2,4,4
13318,1,3,1281.52,4,3,2
13319,5,26,21691.100000000002,4,4,4
13320,78,4,3064.4,2,3,3
13321,72,2,1134.72,2,2,2
13322,17,1,398.96000000000004,4,1,1
13323,3,5,1575.7,4,4,3
13324,36,10,14243.9,3,4,4
13325,82,1,1350.6,2,1,3
13327,39,8,7255.54,3,4,4
13328,316,1,2616.96,1,1,3
13329,32,2,1578.0,3,2,3
13330,93,3,2281.86,2,3,3
13332,14,1,701.8,4,1,2
13334,82,3,7004.64,2,3,4
13336,77,1,1590.24,2,1,3
13338,158,1,974.04,1,1,2
13339,201,1,1720.24,1,1,3
13340,45,7,21472.96,3,4,4
13341,261,1,1551.7,1,1,3
13343,178,1,706.86,1,1,2
13344,68,3,5023.38,2,3,4
13345,288,1,779.0,1,1,2
13347,70,1,682.72,2,1,2
13348,64,1,467.52,2,1,1
13349,11,1,494.64,4,1,1
13350,16,2,1958.24,4,2,3
13351,66,1,747.88,2,1,2
13352,60,1,795.9599999999999,2,1,2
13354,71,1,1487.06,2,1,3
13355,122,1,1349.4,2,1,3
13356,80,1,1536.48,2,1,3
13357,257,1,1218.8,1,1,2
13358,269,1,878.06,1,1,2
13359,64,1,879.12,2,1,2
13362,9,4,6181.4800000000005,4,3,4
13363,18,2,1985.0,4,2,3
